id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
hsa04610	Organismal Systems	0	453	23	10.324770349514877	23	0	0.05077262693156733
hsa04976	Organismal Systems	0	453	22	9.289078922174587	22	0	0.04856512141280353
hsa02010	Environmental Information Processing	0	453	15	8.534158787219534	15	0	0.033112582781456956
hsa00982	Metabolism	0	453	18	7.768559888838965	18	0	0.039735099337748346
hsa00830	Metabolism	0	453	17	7.4656260430696175	17	0	0.037527593818984545
hsa00120	Metabolism	0	453	8	6.141397835873449	8	0	0.017660044150110375
hsa00380	Metabolism	0	453	12	6.114382735788838	12	0	0.026490066225165563
hsa03320	Organismal Systems	0	453	16	5.962210284960817	16	0	0.03532008830022075
hsa04146	Cellular Processes	0	453	16	5.427520805406416	16	0	0.03532008830022075
hsa01230	Metabolism	0	453	15	5.331493930510385	15	0	0.033112582781456956
hsa01200	Metabolism	0	453	19	5.225097953858922	19	0	0.04194260485651214
hsa00071	Metabolism	0	453	11	5.134714025147245	11	0	0.024282560706401765
hsa00220	Metabolism	0	453	8	4.955388964132819	8	0	0.017660044150110375
hsa05204	Human Diseases	0	453	14	4.939200810654017	14	0	0.03090507726269316
hsa04152	Environmental Information Processing	0	453	19	4.897870978422015	19	0	0.04194260485651214
hsa01212	Metabolism	0	453	12	4.613445146853697	12	0	0.026490066225165563
hsa00350	Metabolism	0	453	9	4.21238829395543	9	0	0.019867549668874173
hsa01240	Metabolism	0	453	20	3.998779576581001	20	0	0.04415011037527594
hsa04936	Human Diseases	0	453	19	3.88144048064041	19	0	0.04194260485651214
hsa00980	Metabolism	0	453	13	3.7750355963265187	13	0	0.02869757174392936
hsa00983	Metabolism	0	453	13	3.6626411024968974	13	0	0.02869757174392936
hsa04710	Organismal Systems	0	453	8	3.6033481163826115	8	0	0.017660044150110375
hsa00140	Metabolism	0	453	11	3.571451999454624	11	0	0.024282560706401765
hsa00770	Metabolism	0	453	6	3.3083383885476447	6	0	0.013245033112582781
hsa00620	Metabolism	0	453	9	3.2698346341772946	9	0	0.019867549668874173
hsa00280	Metabolism	0	453	9	3.1994162677757343	9	0	0.019867549668874173
hsa04920	Organismal Systems	0	453	11	3.1027806327262297	11	0	0.024282560706401765
hsa00030	Metabolism	0	453	7	3.099002154766478	7	0	0.01545253863134658
hsa00630	Metabolism	0	453	7	3.099002154766478	7	0	0.01545253863134658
hsa00360	Metabolism	0	453	5	3.02560813453475	5	0	0.011037527593818985
hsa00260	Metabolism	0	453	8	3.019151866228556	8	0	0.017660044150110375
hsa00640	Metabolism	0	453	7	3.0110749844230753	7	0	0.01545253863134658
hsa04068	Environmental Information Processing	0	453	16	2.9485895970946996	16	0	0.03532008830022075
hsa00270	Metabolism	0	453	9	2.9371599602912895	9	0	0.019867549668874173
hsa00561	Metabolism	0	453	10	2.7961306254722	10	0	0.02207505518763797
hsa00650	Metabolism	0	453	6	2.6851846503910783	6	0	0.013245033112582781
hsa00790	Metabolism	0	453	6	2.6851846503910783	6	0	0.013245033112582781
hsa00250	Metabolism	0	453	7	2.6216955484163185	7	0	0.01545253863134658
hsa00670	Metabolism	0	453	5	2.5492680694042558	5	0	0.011037527593818985
hsa00590	Metabolism	0	453	9	2.440699486852861	9	0	0.019867549668874173
hsa00500	Metabolism	0	453	7	2.421316083500803	7	0	0.01545253863134658
hsa04979	Organismal Systems	0	453	8	2.389969414561241	8	0	0.017660044150110375
hsa04216	Cellular Processes	0	453	7	2.299079521579673	7	0	0.01545253863134658
hsa04975	Organismal Systems	0	453	7	2.2410121652437467	7	0	0.01545253863134658
hsa01210	Metabolism	0	453	6	2.2250343351985244	6	0	0.013245033112582781
hsa05417	Human Diseases	0	453	20	2.129865608339839	20	0	0.04415011037527594
hsa01521	Human Diseases	0	453	10	2.128882103048081	10	0	0.02207505518763797
hsa00430	Metabolism	0	453	4	2.1210037288044954	4	0	0.008830022075055188
