#category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	40/699	235/8840	2.57400544777692e-06	0.000268554568384725	0.000237531029040467	2182/6194/6197/60/1340/71/5468/51079/4713/6597/5563/2778/517/521/6599/513/514/6654/57521/4696/1432/9658/54539/64764/1385/152831/1337/4720/1329/506/7381/9551/6391/1345/498/27089/91942/2885/126328/90639	40
Genetic Information Processing	Folding, sorting and degradation	hsa04141	Protein processing in endoplasmic reticulum	29/699	170/8840	5.88811739373526e-05	0.00460745186059784	0.00407519703829572	811/3326/5034/5589/6745/821/9601/10134/6746/7184/80267/81567/6185/2923/1388/3309/56893/468/6748/10970/80331/56886/6238/23471/7322/10960/29927/7326/55666	29
Human Diseases	Infectious disease: bacterial	hsa05110	Vibrio cholerae infection	13/699	51/8840	0.000120035068479182	0.0075141952867968	0.00664615221263682	60/71/9601/2778/375/11014/10945/537/10312/5335/5578/527/29927	13
Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	16/699	75/8840	0.000202138412435761	0.0105448871820655	0.00932673727554475	23236/433/821/9601/7184/2778/1388/3309/6906/64764/1385/468/476/5578/7276/481	16
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	33/699	226/8840	0.000407364512258699	0.0182150131909961	0.0161108070261711	5747/1340/51079/8644/4713/27/517/2052/196/2938/513/514/5337/6654/5605/673/4696/5296/119391/1432/54539/1337/2941/4720/1329/506/7381/6391/1345/498/27089/2885/126328	33
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	23/699	138/8840	0.000472359287992735	0.0184810571427158	0.0163461174660644	1340/51079/4713/517/521/513/514/4696/54539/1337/537/4720/1329/10312/506/7381/9551/6391/1345/498/27089/527/126328	23
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	30/699	205/8840	0.000708824053768346	0.0246513254254991	0.0218035937007105	23236/183/2597/948/3667/1509/1340/51079/4713/517/25874/513/514/142/4696/5296/1432/54539/1337/4720/1329/506/7381/5578/6391/1345/498/27089/126328/2673	30
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	29/699	204/8840	0.00137489991595011	0.0430343673692385	0.0380630187257768	2719/7448/6194/3480/3481/60/5747/71/287/1975/9475/6383/6608/288/6654/2065/5605/673/967/5296/1432/9138/5335/5578/1499/2885/5962/3339/54776	29
